,,,,Ordinal or label,None,None,One Hot,One Hot,DO not consider: same values,None: Direct use continuous data,DO not use: redundant,,One hot,Binary encoding,Don't use,One hot,Binary: Yes NO,Do not use,Binary ,Binary Encoding,Binary encoding,Binary encoding,do eda BETWEEN Admit Type and Grades,"One Hot , Nominal","One hot, categorical and nominal",Analysis with EDA
Year to Grad,Term Desc,Class,,Grade,GPA,Units Earned,Major at Entry,Major (Latest),Academic Standing,Units Attempting,Enrollment Status Code,,Expected Grad Term,First Generation,Units Needed,Cohort Type,underrepresented,EOP,Parent level edu,Graduated,Enrolled Not Graduated,Not Graduated Not Enrolled,Admit Type,Program Status,Program Action,Academic Career
0,Spring 2023,CPSC~483~01,,F,2.44,121,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,4,E,,Spring 2023,No,NA,Not Graduated Not Enrolled,Yes,No,Parent Graduated College,0%     (0),0%     (0),100%     (1),First-Time Freshmen,Active in Program,Data Change,Undergraduate
0,Spring 2023,CPSC~483~01,,B,3.06,129,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,3,E,,Not Applicable,No,NA,Enrolled Not Graduated,Yes,No,Parent Attended Some College,0%     (0),100%     (1),0%     (0),Unknown,Active in Program,Data Change,Undergraduate
0,Spring 2023,CPSC~483~01,,C,3.29,134,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,6,E,,Spring 2023,No,0,Graduated,Yes,No,Parent Attended Some College,100%     (1),0%     (0),0%     (0),UG Transfer,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,A,3.85,116,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,9,E,,Spring 2023,No,0,Graduated,No,No,Parent Graduated College,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,B,3.56,201.66,Comm/Public Relations  2MJ 1BA,Political Science      1MJ 1BA,Good Standing,15,E,,Spring 2023,No,0,Graduated,Yes,No,Parent Graduated College,100%     (1),0%     (0),0%     (0),UG Transfer,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,B,3.7,136,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,15,E,,Spring 2023,Yes,0,Graduated,Yes,No,Student is First Generation College,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,B,2.9,153,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,15,E,,Spring 2023,No,0,Graduated,Yes,No,Parent Graduated College,100%     (1),0%     (0),0%     (0),UG Transfer,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,D,2.66,119,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,13,E,,Fall 2023,No,NA,Enrolled Not Graduated,No,No,Parent Attended Some College,0%     (0),100%     (1),0%     (0),First-Time Freshmen,Active in Program,Data Change,Undergraduate
0,Spring 2023,CPSC~483~01,,B,3.41,167,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,15,E,,Spring 2023,No,0,Graduated,No,No,Parent Graduated College,100%     (1),0%     (0),0%     (0),UG Transfer,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,C,3.28,122,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,14,E,,Spring 2023,No,0,Graduated,Yes,No,Parent Attended Some College,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,B,2.7,123,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,10,E,,Summer 2023,No,NA,Enrolled Not Graduated,Yes,No,Parent Attended Some College,0%     (0),100%     (1),0%     (0),First-Time Freshmen,Active in Program,Data Change,Undergraduate
0,Spring 2023,CPSC~483~01,,B,3.54,130,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,15,E,,Spring 2023,No,0,Graduated,No,No,Parent Graduated College,100%     (1),0%     (0),0%     (0),UG Transfer,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,C,3.2,137,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,15,E,,Spring 2023,Yes,0,Graduated,Yes,No,Student is First Generation College,100%     (1),0%     (0),0%     (0),UG Transfer,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,B,3.12,128,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,15,E,,Spring 2023,Yes,0,Graduated,No,No,Student is First Generation College,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,A,3.79,140,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,6,E,,Not Applicable,No,NA,Enrolled Not Graduated,No,No,Parent Graduated College,0%     (0),100%     (1),0%     (0),UG Transfer,Active in Program,Data Change,Undergraduate
0,Spring 2023,CPSC~483~01,,B,3.75,126,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,12,E,,Spring 2023,No,0,Graduated,No,No,Parent Graduated College,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,B,3.29,147,,,Good Standing,15,E,,Spring 2023,No,0,Graduated,No,No,Parent Graduated College,100%     (1),0%     (0),0%     (0),UG Transfer,Completed Program,Completion of Program,Undergraduate
0,Spring 2023,CPSC~483~01,,C,3.47,120,*Computer Science    Minor 1BA,Computer Science       1MJ 1BS,Good Standing,12,E,,Spring 2023,No,0,Graduated,No,No,Parent Graduated College,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
