Sr. No.,uid
1,11012
2,74120
3,99978
4,62220
5,11405
6,12047
7,48917
8,96917
9,78231
10,67605
11,55317
12,16058
13,40092
14,45855
15,55072
16,95012
17,16164
18,44199
19,25001
20,82986
21,25770
22,86703
23,89523
24,43957
25,12982
26,97975
27,94647
28,23480
29,17080
30,47547
31,44348
32,49725
33,31038
34,62526
35,58555
36,85185
37,32834
38,95170
39,50884
40,99265
41,59462
42,93511
43,15428
44,73803
45,16846
46,24655
47,95569
48,50898
49,93907
50,56534
51,18903
52,89175
53,59094
54,46554
55,82013
56,84703
57,39265
58,73569
59,44771
60,45155
61,15588
62,72294
63,55789
64,99183
65,96753
66,48757
67,30586
68,99323
69,82685
